temp,bacteria,sample
25,0,1
25,0,2
25,0,3
25,0,4
25,0,5
25,0,6
25,0,7
25,0,8
25,0,9
25,0,10
25,0,11
25,0,12
25,0,13
25,0,14
25,0,15
25,1,16
25,0,17
25,1,18
35,0,19
35,0,20
35,0,21
35,0,22
35,0,23
35,0,24
35,0,25
35,0,26
35,1,27
35,0,28
35,0,29
35,1,30
35,1,31
35,1,32
35,1,33
35,1,34
35,1,35
35,1,36
43,0,37
43,0,38
43,0,39
43,0,40
43,0,41
43,1,42
43,1,43
43,0,44
43,1,45
43,1,46
43,0,47
43,1,48
43,1,49
43,0,50
43,1,51
43,1,52
43,0,53
43,1,54
43,0,55
43,1,56
50,0,57
50,0,58
50,0,59
50,0,60
50,0,61
50,1,62
50,0,63
50,1,64
50,1,65
50,1,66
50,1,67
50,1,68
50,0,69
50,0,70
50,0,71
50,0,72
50,0,73
50,0,74
