eunit,block,variety,count_141,count_155,count_169,count_183,count_197
e11,1,v1,17,4,7,3,6
e12,2,v1,13,6,5,3,4
e13,3,v1,20,19,9,6,6
e14,4,v1,4,8,3,5,4
e21,1,v2,21,15,7,2,3
e22,2,v2,3,8,8,12,6
e23,3,v2,14,6,6,4,6
e24,4,v2,20,14,10,9,6
e31,1,v3,25,20,13,10,5
e32,2,v3,25,30,7,9,6
e33,3,v3,31,13,13,14,11
e34,4,v3,15,19,18,12,7
e41,1,v4,16,5,2,3,6
e42,2,v4,9,13,5,11,12
e43,3,v4,25,21,19,14,7
e44,4,v4,10,13,14,10,8
e51,1,v5,35,23,11,6,8
e52,2,v5,17,23,18,15,19
e53,3,v5,39,8,28,9,13
e54,4,v5,48,39,18,9,10
e61,1,v6,36,8,9,5,7
e62,2,v6,25,9,7,13,10
e63,3,v6,21,19,21,10,4
e64,4,v6,7,9,7,8,11
