variety,block,density,yield_tha
Pride5,1,3.5,5.3
Pride5,1,7,5.5
Pride5,1,11,5.5
Pride5,2,3.5,5.3
Pride5,2,7,5.5
Pride5,2,11,6.3
Pride5,3,3.5,5.5
Pride5,3,7,6.7
Pride5,3,11,6.8
Pride5,4,3.5,5.5
Pride5,4,7,8.2
Pride5,4,11,4.6
War263,1,3.5,5.7
War263,1,7,5.9
War263,1,11,5.3
War263,2,3.5,5.6
War263,2,7,6.9
War263,2,11,4.8
War263,3,3.5,5.2
War263,3,7,6.2
War263,3,11,5.6
War263,4,3.5,5.8
War263,4,7,6.8
War263,4,11,4
SX111,1,3.5,6.3
SX111,1,7,7.6
SX111,1,11,6.7
SX111,2,3.5,6.5
SX111,2,7,6.2
SX111,2,11,7.1
SX111,3,3.5,6.3
SX111,3,7,8.6
SX111,3,11,7
SX111,4,3.5,5.6
SX111,4,7,7
SX111,4,11,6.6
3893,1,3.5,7.9
3893,1,7,8
3893,1,11,8.8
3893,2,3.5,7.4
3893,2,7,9.7
3893,2,11,8.7
3893,3,3.5,7.2
3893,3,7,9.8
3893,3,11,9.3
3893,4,3.5,7.8
3893,4,7,8.8
3893,4,11,9.4
N2555,1,3.5,7.3
N2555,1,7,7.7
N2555,1,11,9.4
N2555,2,3.5,7.6
N2555,2,7,9
N2555,2,11,9.9
N2555,3,3.5,7.4
N2555,3,7,8.8
N2555,3,11,8.6
N2555,4,3.5,7.8
N2555,4,7,7.9
N2555,4,11,7.7
