block,bap,dic,callus_pct
1,10,0.5,80
1,10,2,100
1,10,5,100
1,10,10,90
1,12.5,0.5,70
1,12.5,2,90
1,12.5,5,100
1,12.5,10,90
1,15,0.5,56
1,15,2,78
1,15,5,100
1,15,10,100
2,10,0.5,80
2,10,2,60
2,10,5,100
2,10,10,100
2,12.5,0.5,60
2,12.5,2,60
2,12.5,5,100
2,12.5,10,80
2,15,0.5,40
2,15,2,56
2,15,5,100
2,15,10,57
3,10,0.5,89
3,10,2,60
3,10,5,100
3,10,10,100
3,12.5,0.5,80
3,12.5,2,60
3,12.5,5,100
3,12.5,10,90
3,15,0.5,78
3,15,2,50
3,15,5,100
3,15,10,75
4,10,0.5,40
4,10,2,100
4,10,5,89
4,10,10,100
4,12.5,0.5,40
4,12.5,2,80
4,12.5,5,95
4,12.5,10,55
4,15,0.5,.
4,15,2,90
4,15,5,60
4,15,10,100
