expt,variety,block,ndf_pct
e1419394,C1001,1,37.7835
e1419394,C1001,2,38.3529
e1419394,C1001,3,38.4473
e1419394,C1074,1,38.1776
e1419394,C1074,2,37.5186
e1419394,C1074,3,38.7495
e1419394,E1298,1,39.153
e1419394,E1298,2,38.1365
e1419394,E1298,3,38.8407
e1419294,C1001,1,38.6662
e1419294,C1001,2,37.4398
e1419294,C1001,3,39.4391
e1419294,C1074,1,39.0649
e1419294,C1074,2,39.161
e1419294,C1074,3,37.8453
e1419294,E1298,1,39.7079
e1419294,E1298,2,39.2217
e1419294,E1298,3,40.8167
e819394,C1001,1,43.7518
e819394,C1001,2,43.6967
e819394,C1001,3,44.1919
e819394,C1001,4,43.3651
e819394,C1074,1,44.7615
e819394,C1074,2,44.5512
e819394,C1074,3,45.3351
e819394,C1074,4,44.9801
e819394,E1298,1,44.399
e819394,E1298,2,43.7636
e819394,E1298,3,43.6155
e819394,E1298,4,46.0985
e249394,C1001,2,41.6624
e249394,C1001,3,40.9789
e249394,C1001,4,42.8325
e249394,C1074,2,43.1781
e249394,C1074,3,42.5546
e249394,C1074,4,40.9628
e249394,E1298,2,42.8255
e249394,E1298,3,42.3073
e249394,E1298,4,41.2275
e449394,C1001,2,42.6426
e449394,C1001,3,45.0186
e449394,C1001,4,43.3435
e449394,C1074,1,42.6408
e449394,C1074,2,42.2359
e449394,C1074,3,44.5891
e449394,C1074,4,42.4375
e449394,E1298,1,41.6362
e449394,E1298,2,41.7456
e449394,E1298,3,44.4155
e449394,E1298,4,41.8605
e749394,C1001,1,43.5217
e749394,C1001,2,45.6183
e749394,C1074,1,43.4024
e749394,C1074,2,46.9031
e749394,C1074,3,44.6265
e749394,E1298,2,45.1649
e749394,E1298,3,45.1838
e649394,C1001,1,39.815
e649394,C1001,2,39.3723
e649394,C1001,3,39.959
e649394,C1001,4,38.8322
e649394,C1074,1,37.959
e649394,C1074,2,39.0712
e649394,C1074,3,39.4901
e649394,C1074,4,39.0503
e649394,E1298,1,40.1759
e649394,E1298,2,40.4937
e649394,E1298,3,37.198
e649394,E1298,4,40.281
e1419395,C1001,1,44.1195
e1419395,C1001,2,42.8932
e1419395,C1001,3,42.3846
e1419395,C1074,1,41.9688
e1419395,C1074,2,41.6799
e1419395,C1074,3,41.9118
e1419395,E1298,1,42.769
e1419395,E1298,2,44.7615
e1419395,E1298,3,42.6832
e1419495,C1001,1,42.3566
e1419495,C1001,2,43.8087
e1419495,C1001,3,43.6992
e1419495,C1074,1,41.3576
e1419495,C1074,2,42.5067
e1419495,C1074,3,43.6261
e1419495,E1298,1,42.232
e1419495,E1298,2,43.0852
e1419495,E1298,3,42.1745
e819395,C1001,1,41.9717
e819395,C1001,2,43.8554
e819395,C1001,3,45.3514
e819395,C1001,4,44.8457
e819395,C1074,1,42.0372
e819395,C1074,2,41.8444
e819395,C1074,3,43.8476
e819395,C1074,4,43.899
e819395,E1298,1,43.6347
e819395,E1298,2,43.4916
e819395,E1298,3,45.5152
e819395,E1298,4,43.5943
e819495,C1001,1,46.113
e819495,C1001,2,45.5551
e819495,C1001,3,44.5494
e819495,C1074,1,44.7529
e819495,C1074,2,44.7209
e819495,C1074,3,44.6977
e819495,E1298,1,46.5399
e819495,E1298,2,41.9248
e819495,E1298,3,44.387
e449395,C1001,2,44.198
e449395,C1001,3,46.18
e449395,C1001,4,43.9245
e449395,C1074,1,41.1572
e449395,C1074,2,45.9352
e449395,C1074,3,42.2526
e449395,C1074,4,40.5876
e449395,E1298,1,42.1128
e449395,E1298,2,47.1013
e449395,E1298,3,43.6909
e449395,E1298,4,41.9277
e19899,C1001,1,43.2379
e19899,C1001,2,44.679
e19899,C1001,3,43.9326
e19899,C1001,4,41.6904
e19899,C1074,1,40.8791
e19899,C1074,2,40.7421
e19899,C1074,3,43.3233
e19899,C1074,4,40.7596
e19899,E1298,1,44.5324
e19899,E1298,2,40.4069
e19899,E1298,3,44.2223
e19899,E1298,4,40.4295
e319899,C1001,1,46.4993
e319899,C1001,2,50.8244
e319899,C1001,3,46.8768
e319899,C1001,4,46.9965
e319899,C1074,1,46.8533
e319899,C1074,2,44.1407
e319899,C1074,3,46.0701
e319899,C1074,4,43.5136
e319899,E1298,1,48.0915
e319899,E1298,2,46.3707
e319899,E1298,3,46.1063
e319899,E1298,4,47.1576
