field,cec,om_pct,ph,ni_mgkg,yield_tha
A,31.6,7.4,7.3,1300,1.63
A,32.9,7.4,7.1,1300,1.78
A,33.3,7.9,7.3,2000,1.6
A,38.5,9.8,7,2100,1.32
A,37.5,8.6,7.2,1900,1.26
A,44.7,11.4,7,2700,1.45
A,31.1,9.2,7,2400,1.15
A,37.1,9.1,7.2,2400,0.73
A,31.5,10.5,7.6,2700,0.66
A,33.6,9.1,7.6,2200,0.66
A,37.3,9.8,7.5,2200,0.83
A,38.9,10.5,7.5,2000,0.7
A,38.6,10.3,7.5,2900,1.23
A,38.8,9.8,7.5,2500,0.9
A,37.6,11.3,7.5,2700,1.01
A,33.7,8.9,7.5,2000,0.81
B,32,8.8,6.6,2000,1.43
B,29.7,8.1,6.6,1900,1.1
B,36.1,7.7,7.3,1600,1.25
B,32.5,9.6,6.5,1800,1.7
B,34.1,9.8,6.4,2200,1.84
B,33.2,11,6.5,2500,1.27
B,31.6,10.9,6.1,2600,1.25
B,44.6,17.6,6.2,3200,1.3
B,40.3,14.2,6.9,3900,1
B,49.6,15,7.3,3000,2.57
B,57.8,19.8,7.2,3600,2.65
B,77.1,25.6,7,4600,1.63
B,30.3,13,6.6,3100,0.82
B,54,16.6,7,2800,2.09
B,45.4,18,6.9,3700,0.8
C,71.1,28.8,7,4900,2.78
C,53.9,19.8,5.7,1500,2.67
C,38.8,12.6,6.1,1500,1.77
C,33.2,13.4,5.4,2200,1.36
C,39.7,22.8,4.6,1800,0.08
C,37.6,16.4,5.3,1900,0.22
C,36.8,17.4,5.1,2100,0.62
C,43.7,24.6,5.5,2600,0.31
C,46,23.4,5.4,2400,1.29
C,23.1,10.5,5.6,2400,0
C,26.2,12.8,5.5,2200,0
C,23.7,9.6,5.8,2000,0
C,28.7,14.2,5.7,2400,0.52
C,24.4,12,5.4,2000,0
C,25.3,12.8,5.5,2000,0
C,29,14.2,5.5,2000,0
C,30.8,17,5.8,2500,0
