biotype,rate,rep,pct
A,1,1,100
A,1,2,100
A,1,3,100
A,1,4,100
A,4,1,100
A,4,2,.
A,4,3,89.44
A,4,4,61.53
A,8,1,97.7
A,8,2,100
A,8,3,81.74
A,8,4,61.04
A,16,1,57.47
A,16,2,100
A,16,3,82.42
A,16,4,73.71
A,32,1,79.31
A,32,2,.
A,32,3,52.82
A,32,4,69.51
A,64,1,66.67
A,64,2,65.44
A,64,3,55.38
A,64,4,51.56
A,128,1,83.91
A,128,2,76.5
A,128,3,43.85
A,128,4,42.18
A,256,1,68.97
A,256,2,.
A,256,3,22.44
A,256,4,34.62
A,512,1,51.72
A,512,2,60.14
A,512,3,14.54
A,512,4,15.85
B,0.001,1,.
B,0.001,2,100
B,0.001,3,100
B,0.001,4,100
B,0.063,1,87.5
B,0.063,2,74.3
B,0.063,3,97.37
B,0.063,4,42.87
B,0.125,1,38.28
B,0.125,2,50.37
B,0.125,3,31.21
B,0.125,4,27.17
B,0.25,1,42.19
B,0.25,2,38.68
B,0.25,3,44.3
B,0.25,4,45.87
B,0.5,1,35.16
B,0.5,2,19.65
B,0.5,3,28.4
B,0.5,4,27.35
B,1,1,12.5
B,1,2,14.31
B,1,3,17.57
B,1,4,39.44
B,2,1,7.81
B,2,2,32.88
B,2,3,17.63
B,2,4,22.87
B,4,1,8.59
B,4,2,21.87
B,4,3,19.36
B,4,4,24.06
B,16,1,11.72
B,16,2,3.84
B,16,3,12.95
B,16,4,19.89
