genotype,env,block,pH
G05,E1,1,5.06
G05,E1,2,5.13
G05,E1,3,4.96
G05,E2,1,4.88
G05,E2,2,4.99
G05,E2,3,5.03
G05,E3,1,6.14
G05,E3,2,5.84
G05,E3,3,5.98
G06,E1,1,5.1
G06,E1,2,4.86
G06,E1,3,4.65
G06,E2,1,4.98
G06,E2,2,5.18
G06,E2,3,5.12
G06,E3,1,5.73
G06,E3,2,6.05
G06,E3,3,5.76
G10,E1,1,4.82
G10,E1,2,4.89
G10,E1,3,4.81
G10,E2,1,4.77
G10,E2,2,4.77
G10,E2,3,4.78
G10,E3,1,5.11
G10,E3,2,5.82
G10,E3,3,5.57
G25,E1,1,5.12
G25,E1,2,4.83
G25,E1,3,4.86
G25,E2,1,5.17
G25,E2,2,5.21
G25,E2,3,5.14
G25,E3,1,5.69
G25,E3,2,5.32
G25,E3,3,5.69
G31,E1,1,5.08
G31,E1,2,4.84
G31,E1,3,4.59
G31,E2,1,4.95
G31,E2,2,5.16
G31,E2,3,5.11
G31,E3,1,4.86
G31,E3,2,5.07
G31,E3,3,4.75
G36,E1,1,5.16
G36,E1,2,4.95
G36,E1,3,4.99
G36,E2,1,5.25
G36,E2,2,4.97
G36,E2,3,4.99
G36,E3,1,5.87
G36,E3,2,5.28
G36,E3,3,5.29
G39,E1,1,4.64
G39,E1,2,4.52
G39,E1,3,4.54
G39,E2,1,5.13
G39,E2,2,4.89
G39,E2,3,5.04
G39,E3,1,4.72
G39,E3,2,5.12
G39,E3,3,4.62
G50,E1,1,4.68
G50,E1,2,4.75
G50,E1,3,4.61
G50,E2,1,4.96
G50,E2,2,4.89
G50,E2,3,4.93
G50,E3,1,5.33
G50,E3,2,5.27
G50,E3,3,5.29
G52,E1,1,4.39
G52,E1,2,4.75
G52,E1,3,4.94
G52,E2,1,4.98
G52,E2,2,5.01
G52,E2,3,4.89
G52,E3,1,6.09
G52,E3,2,5.76
G52,E3,3,5.97
G61,E1,1,4.43
G61,E1,2,4.14
G61,E1,3,4.91
G61,E2,1,4.98
G61,E2,2,4.92
G61,E2,3,4.66
G61,E3,1,5.87
G61,E3,2,5.8
G61,E3,3,5.83
G68,E1,1,5.21
G68,E1,2,5.01
G68,E1,3,5.06
G68,E2,1,5.64
G68,E2,2,5.56
G68,E2,3,5.42
G68,E3,1,5.71
G68,E3,2,5.85
G68,E3,3,5.78
G75,E1,1,4.98
G75,E1,2,4.72
G75,E1,3,4.51
G75,E2,1,5.19
G75,E2,2,5.23
G75,E2,3,5.5
G75,E3,1,5.22
G75,E3,2,4.97
G75,E3,3,5.47
G83,E1,1,5.03
G83,E1,2,4.52
G83,E1,3,4.35
G83,E2,1,4.91
G83,E2,2,5.07
G83,E2,3,4.89
G83,E3,1,5.23
G83,E3,2,5.24
G83,E3,3,5.2
G93,E1,1,4.87
G93,E1,2,4.86
G93,E1,3,4.66
G93,E2,1,5.3
G93,E2,2,5.11
G93,E2,3,4.82
G93,E3,1,5.87
G93,E3,2,5.31
G93,E3,3,5.62
G95,E1,1,5.13
G95,E1,2,5.01
G95,E1,3,5.13
G95,E2,1,5.25
G95,E2,2,5.29
G95,E2,3,5.18
G95,E3,1,6.34
G95,E3,2,6.1
G95,E3,3,5.68
G100,E1,1,4.45
G100,E1,2,4.4
G100,E1,3,4.61
G100,E2,1,5.06
G100,E2,2,5.06
G100,E2,3,4.83
G100,E3,1,4.71
G100,E3,2,4.39
G100,E3,3,4.69
