tier,plot,cblock,repet,repl,iblock,variety,yield_tha
1,1,11,1,1,1,1,2.4
1,2,11,1,1,1,2,2.5
1,3,11,1,1,1,3,2.4
1,4,11,1,1,1,4,2.6
1,5,11,1,1,1,5,2.4
1,6,11,1,1,2,6,3.1
1,7,11,1,1,2,7,2.8
1,8,11,1,1,2,8,2.8
1,9,11,1,1,2,9,2.9
1,10,11,1,1,2,10,2.6
1,11,11,1,1,3,11,3.2
1,12,11,1,1,3,12,2.5
1,13,11,1,1,3,13,2.5
1,14,11,1,1,3,14,2.6
1,15,11,1,1,3,15,3
1,16,11,1,1,4,16,3.2
1,17,11,1,1,4,17,3.1
1,18,11,1,1,4,18,2.9
1,19,11,1,1,4,19,2.9
1,20,11,1,1,4,20,3
1,21,11,1,1,5,21,3
1,22,11,1,1,5,22,3
1,23,11,1,1,5,23,2.8
1,24,11,1,1,5,24,3
1,25,11,1,1,5,25,3
2,1,12,1,2,1,1,3.6
2,2,12,1,2,1,6,2.9
2,3,12,1,2,1,11,3.6
2,4,12,1,2,1,16,2.8
2,5,12,1,2,1,21,2.6
2,6,12,1,2,2,2,3.4
2,7,12,1,2,2,7,2.8
2,8,12,1,2,2,12,3
2,9,12,1,2,2,17,2.8
2,10,12,1,2,2,22,3.6
2,11,12,1,2,3,3,3.1
2,12,12,1,2,3,8,2.3
2,13,12,1,2,3,13,2.8
2,14,12,1,2,3,18,2.8
2,15,12,1,2,3,23,2.8
2,16,12,1,2,4,4,3.2
2,17,12,1,2,4,9,2.7
2,18,12,1,2,4,14,4
2,19,12,1,2,4,19,2.6
2,20,12,1,2,4,24,3.6
2,21,12,1,2,5,5,3
2,22,12,1,2,5,10,3
2,23,12,1,2,5,15,3.5
2,24,12,1,2,5,20,3.1
2,25,12,1,2,5,25,3.3
3,1,21,2,1,1,1,2.9
3,2,21,2,1,1,2,3.8
3,3,21,2,1,1,3,2.6
3,4,21,2,1,1,4,2.9
3,5,21,2,1,1,5,2.8
3,6,21,2,1,2,6,3
3,7,21,2,1,2,7,3.2
3,8,21,2,1,2,8,3.5
3,9,21,2,1,2,9,2.8
3,10,21,2,1,2,10,3
3,11,21,2,1,3,11,3.3
3,12,21,2,1,3,12,2.7
3,13,21,2,1,3,13,2.7
3,14,21,2,1,3,14,2.7
3,15,21,2,1,3,15,3.1
3,16,21,2,1,4,16,3.4
3,17,21,2,1,4,17,3.1
3,18,21,2,1,4,18,3.2
3,19,21,2,1,4,19,2.3
3,20,21,2,1,4,20,3.2
3,21,21,2,1,5,21,3
3,22,21,2,1,5,22,2.8
3,23,21,2,1,5,23,2.9
3,24,21,2,1,5,24,3.4
3,25,21,2,1,5,25,2.6
4,1,22,2,2,1,1,3.1
4,2,22,2,2,1,6,2.5
4,3,22,2,2,1,11,3.4
4,4,22,2,2,1,16,2.9
4,5,22,2,2,1,21,3.4
4,6,22,2,2,2,2,3
4,7,22,2,2,2,7,2.7
4,8,22,2,2,2,12,2.8
4,9,22,2,2,2,17,2.5
4,10,22,2,2,2,22,3
4,11,22,2,2,3,3,2.5
4,12,22,2,2,3,8,2.8
4,13,22,2,2,3,13,3
4,14,22,2,2,3,18,3
4,15,22,2,2,3,23,3.1
4,16,22,2,2,4,4,3.3
4,17,22,2,2,4,9,3
4,18,22,2,2,4,14,3.4
4,19,22,2,2,4,19,2.4
4,20,22,2,2,4,24,3.1
4,21,22,2,2,5,5,3.2
4,22,22,2,2,5,10,3.2
4,23,22,2,2,5,15,3.4
4,24,22,2,2,5,20,3
4,25,22,2,2,5,25,3
